Feature,Importance
num__hemo,0.3579142090963211
num__sc,0.17479249259385854
cat__htn_yes,0.08568447153144176
cat__htn_no,0.08554376551050864
cat__dm_yes,0.05100350747470744
num__bgr,0.04581897145559222
cat__dm_no,0.043315671113765136
num__bu,0.042798392549199746
num__age,0.030891436301260445
num__bp,0.022207225462220134
cat__pe_yes,0.013300501848432577
cat__pe_no,0.012201317688755183
cat__appet_good,0.011859455548247605
cat__appet_poor,0.010777151278133779
cat__ane_no,0.006426311357665863
cat__ane_yes,0.004831773827337072
cat__cad_no,0.0004916766934657817
cat__cad_yes,0.00014166866908697957
